university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
長庚大學,醫學系(公費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,82.95,81.7368
高雄醫學大學,醫學系(公費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,82.93,81.7211
國立交通大學,電機工程學系甲組,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.38,81.6717
慈濟大學,醫學系(公費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,82.81,81.6264
國立臺灣大學,國際企業學系,109,1,2,NULL,2,NULL,NULL,NULL,1,1,NULL,85.7857,81.5814
國立清華大學,電機工程學系甲組,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.09,81.4579
國立交通大學,資訊工程學系甲組,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83,81.3915
國立陽明大學,藥學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,82.37,81.2792
輔仁大學,醫學系(公費),109,NULL,1.25,1,NULL,1,1,1.25,NULL,NULL,NULL,83.0109,81.2646
國立臺灣大學,材料科學與工程學系,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,82.7,81.1489
國立臺灣大學,經濟學系,109,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,88.6178,81.1273
中國醫藥大學,中醫學系甲組,109,1,1,1.5,NULL,NULL,1,1,NULL,NULL,NULL,82.0909,81.1261
國立臺灣大學,工商管理學系企業管理組,109,1,2,NULL,2,NULL,NULL,NULL,1,1,NULL,84.8857,80.8987
義守大學,醫學系(公費生),109,NULL,1.5,1,NULL,1,1,1.5,NULL,NULL,NULL,83.175,80.8919
國立臺灣大學,物理治療學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,81.85,80.8886
國立臺灣大學,藥學系,109,NULL,1,1,NULL,1,1.5,1,NULL,NULL,NULL,83.5091,80.8136
國立清華大學,電機資訊學院學士班乙組,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,82.11,80.6719
國立成功大學,電機工程學系(普渡雙聯組),109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,82.09,80.6557
國立交通大學,資管與財金學系財務金融組,109,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,88.56,80.6516
中國醫藥大學,中醫學系乙組,109,1,1,1.5,NULL,NULL,1,1,NULL,NULL,NULL,81.4091,80.6293
中山醫學大學,牙醫學系,109,1,1,1,NULL,NULL,1,1.25,NULL,NULL,NULL,81.5067,80.5672
國立臺灣大學,會計學系,109,1.25,2,NULL,1.25,NULL,NULL,NULL,1,1,NULL,83.7,80.5424
國立清華大學,資訊工程系甲組(電子資訊組),109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,81.774,80.4446
國立臺灣大學,政治學系國際關係組,109,1.25,1.25,NULL,1,NULL,NULL,NULL,1,1,NULL,81.76,80.299
國立臺灣大學,社會學系,109,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1,80.86,80.2158
國立臺灣大學,人類學系,109,1,1.5,NULL,NULL,NULL,NULL,NULL,1,1,1,81.5964,80.1882
國立清華大學,計量財務金融學系乙組,109,1,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,86.445,80.1198
國立臺灣大學,資訊管理學系,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,81.22,80.1056
國立臺南大學,音樂學系(公費)-雲林縣,109,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,83.64,79.9855
國立成功大學,藥學系,109,1,1,1,NULL,NULL,1.25,1,NULL,NULL,NULL,81.0667,79.8135
